仓库信息,平均温度,粮情时间
11仓,21.450000762939453,2017-05-20
11仓,22.25,2017-05-23
11仓,21.450000762939453,2017-05-25
11仓,22.450000762939453,2017-05-28
11仓,23.75,2017-05-30
11仓,24.100000381469727,2017-05-31
11仓,24.849998474121094,2017-06-02
11仓,23.299999237060547,2017-06-13
11仓,23.399999618530273,2017-06-14
11仓,23.549999237060547,2017-06-15
11仓,23.849998474121094,2017-06-16
11仓,24.18088150024414,2017-06-17
11仓,24.479412078857422,2017-06-18
11仓,24.59705924987793,2017-06-19
11仓,25.077205657958984,2017-06-21
11仓,25.353675842285156,2017-06-22
11仓,25.380146026611328,2017-06-23
11仓,25.36617660522461,2017-06-24
11仓,25.56470489501953,2017-06-25
11仓,25.604412078857422,2017-06-26
11仓,25.77941131591797,2017-06-27
11仓,25.98235321044922,2017-06-28
11仓,26.210294723510742,2017-06-29
11仓,26.37279510498047,2017-06-30
11仓,26.113971710205078,2017-07-01
11仓,25.639705657958984,2017-07-02
11仓,25.505882263183594,2017-07-03
11仓,25.777942657470703,2017-07-04
11仓,26.091175079345703,2017-07-05
11仓,26.781618118286133,2017-07-08
11仓,26.788970947265625,2017-07-09
11仓,26.609560012817383,2017-07-11
11仓,27.106616973876953,2017-07-12
11仓,28.084558486938477,2017-07-15
11仓,29.070587158203125,2017-07-19
11仓,29.358089447021484,2017-07-20
11仓,29.63014793395996,2017-07-21
11仓,29.972793579101562,2017-07-22
11仓,30.46176528930664,2017-07-23
11仓,30.994853973388672,2017-07-24
11仓,31.45073699951172,2017-07-27
11仓,30.174999237060547,2017-08-01
11仓,29.62352752685547,2017-08-03
11仓,30.097061157226562,2017-08-08
11仓,29.35441017150879,2017-08-09
11仓,29.21323585510254,2017-08-10
11仓,29.366174697875977,2017-08-11
11仓,28.908824920654297,2017-08-13
11仓,28.679412841796875,2017-08-14
11仓,28.558822631835938,2017-08-15
11仓,28.697059631347656,2017-08-16
11仓,28.135295867919922,2017-08-21
11仓,28.49852752685547,2017-08-23
11仓,28.92353057861328,2017-08-27
11仓,27.830883026123047,2017-08-30
11仓,25.041912078857422,2017-09-10
13仓,5.149999618530273,2015-01-18
13仓,4.800000190734863,2015-01-19
13仓,4.449999809265137,2015-01-20
13仓,4.050000190734863,2015-01-21
13仓,4.25,2015-01-22
13仓,4.25,2015-01-23
13仓,4.550000190734863,2015-03-01
13仓,4.550000190734863,2015-03-02
13仓,4.550000190734863,2015-03-03
13仓,4.550000190734863,2015-03-04
13仓,3.996180534362793,2015-03-05
13仓,3.9739584922790527,2015-03-06
13仓,3.985069513320923,2015-03-07
13仓,4.015277862548828,2015-03-08
13仓,4.049999713897705,2015-03-09
13仓,0.75,2015-03-10
13仓,0.75,2015-03-11
13仓,0.75,2015-03-12
13仓,0.75,2015-03-13
13仓,0.75,2015-03-14
13仓,0.800000011920929,2015-03-16
13仓,0.800000011920929,2015-03-17
13仓,4.5,2015-03-18
13仓,4.5,2015-03-19
13仓,4.5,2015-03-20
13仓,4.550000190734863,2015-03-21
13仓,4.550000190734863,2015-03-22
13仓,4.550000190734863,2015-03-23
13仓,4.550000190734863,2015-03-24
13仓,4.550000190734863,2015-03-25
13仓,4.5,2015-03-26
13仓,4.550000190734863,2015-03-27
13仓,1.0,2015-03-29
13仓,1.0,2015-03-30
13仓,1.0,2015-03-31
13仓,4.550000190734863,2015-04-01
13仓,4.599999904632568,2015-04-02
13仓,4.599999904632568,2015-04-03
13仓,1.0499999523162842,2015-04-04
13仓,1.1500000953674316,2015-04-06
13仓,1.1500000953674316,2015-04-07
13仓,1.1500000953674316,2015-04-08
13仓,4.699999809265137,2015-04-09
13仓,4.599999904632568,2015-04-10
